2026-03-14 18:23:30  INFO  === Security Monitor Started ===
2026-03-14 18:23:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:24:57  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:00  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:03  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:06  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:09  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:12  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:15  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:18  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:21  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:24  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:27  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:33  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:36  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:39  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:42  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:45  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:48  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:51  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:54  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:25:57  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:00  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:03  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:06  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:09  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:12  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:15  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:18  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:21  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:24  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:27  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:33  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:36  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:39  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:42  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:45  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:48  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:51  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:54  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:26:57  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:00  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:03  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:06  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:09  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:12  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:15  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:18  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:21  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:24  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:27  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:33  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:36  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:39  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:42  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:45  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:48  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:51  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:54  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:27:57  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:00  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:03  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:06  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:10  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:13  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:16  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:19  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:22  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:25  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:28  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:31  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:34  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:37  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:40  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:43  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:46  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:49  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:52  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:55  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:28:58  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:01  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:04  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:07  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:10  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:13  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:16  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:19  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:22  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:25  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:28  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:31  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:34  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:37  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:40  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:43  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:46  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:49  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:52  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:55  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:29:58  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:01  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:04  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:07  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:10  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:13  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:16  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:19  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:22  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:25  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:28  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:31  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:34  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:37  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:40  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:43  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:46  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:49  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:52  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:55  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:30:58  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:01  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:04  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:07  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:10  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:13  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:16  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:19  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:22  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:25  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:28  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:31  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:34  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:37  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:40  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:43  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:46  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:49  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:52  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:55  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:31:58  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:01  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:04  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:07  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:10  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:13  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:16  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:19  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:22  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:25  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:28  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:31  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:34  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:37  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:40  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:43  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:46  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:49  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:52  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:55  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:32:58  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:01  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:04  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:07  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:10  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:13  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:16  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:19  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:22  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:25  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:28  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:31  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:34  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:37  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:40  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:43  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:46  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:49  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:52  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:55  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:33:58  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:01  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:04  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:07  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:10  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:13  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:16  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:19  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:22  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:25  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:28  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:31  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:34  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:37  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:40  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:43  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:46  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:49  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:52  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:55  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:34:58  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:01  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:04  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:07  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:10  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:13  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:16  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:19  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:22  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:35:25  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
